Date,Price,
04/01/2021,2.6,
05/01/2021,2.77,
06/01/2021,2.76,
07/01/2021,2.81,
08/01/2021,2.77,
11/01/2021,2.71,
12/01/2021,2.89,
13/01/2021,2.82,
14/01/2021,2.82,
15/01/2021,2.86,
19/01/2021,2.65,
20/01/2021,2.57,
21/01/2021,2.49,
22/01/2021,2.45,
25/01/2021,2.63,
26/01/2021,2.73,
27/01/2021,2.77,
28/01/2021,2.76,
29/01/2021,2.68,
01/02/2021,2.88,
02/02/2021,3.24,
03/02/2021,3.01,
04/02/2021,2.99,
05/02/2021,3.49,
08/02/2021,3.4,
09/02/2021,3.35,
10/02/2021,3.76,
11/02/2021,6.5,
12/02/2021,6.12,
16/02/2021,11.32,
17/02/2021,23.86,
18/02/2021,8.56,
19/02/2021,4.96,
22/02/2021,3.16,
23/02/2021,2.94,
24/02/2021,2.8,
25/02/2021,2.72,
26/02/2021,2.66,
01/03/2021,2.7,
02/03/2021,2.87,
03/03/2021,2.86,
04/03/2021,2.79,
05/03/2021,2.72,
08/03/2021,2.67,
09/03/2021,2.62,
10/03/2021,2.62,
11/03/2021,2.7,
12/03/2021,2.65,
15/03/2021,2.58,
16/03/2021,2.5,
17/03/2021,2.6,
18/03/2021,2.45,
19/03/2021,2.53,
22/03/2021,2.55,
23/03/2021,2.56,
24/03/2021,2.56,
25/03/2021,2.52,
26/03/2021,2.52,
29/03/2021,2.58,
30/03/2021,2.55,
31/03/2021,2.52,
01/04/2021,2.52,
05/04/2021,2.43,
06/04/2021,2.44,
07/04/2021,2.43,
08/04/2021,2.47,
09/04/2021,2.48,
12/04/2021,2.5,
13/04/2021,2.57,
14/04/2021,2.65,
15/04/2021,2.62,
16/04/2021,2.63,
19/04/2021,2.75,
20/04/2021,2.76,
21/04/2021,2.72,
22/04/2021,2.77,
23/04/2021,2.79,
26/04/2021,2.73,
27/04/2021,2.91,
28/04/2021,2.98,
29/04/2021,2.91,
30/04/2021,2.86,
03/05/2021,2.96,
04/05/2021,3,
05/05/2021,2.99,
06/05/2021,2.9,
07/05/2021,2.9,
10/05/2021,2.93,
11/05/2021,2.91,
12/05/2021,2.91,
13/05/2021,2.95,
14/05/2021,2.95,
17/05/2021,2.99,
18/05/2021,2.96,
19/05/2021,2.88,
20/05/2021,2.86,
21/05/2021,2.84,
24/05/2021,2.78,
25/05/2021,2.87,
26/05/2021,2.91,
27/05/2021,2.85,
28/05/2021,2.91,
31/05/2021,2.91,
01/06/2021,3.02,
02/06/2021,3.09,
03/06/2021,3.01,
04/06/2021,3.01,
07/06/2021,2.98,
08/06/2021,3.11,
09/06/2021,3.13,
10/06/2021,3.13,
11/06/2021,3.23,
14/06/2021,3.36,
15/06/2021,3.31,
16/06/2021,3.25,
17/06/2021,3.24,
18/06/2021,3.23,
21/06/2021,3.15,
22/06/2021,3.21,
23/06/2021,3.36,
24/06/2021,3.3,
25/06/2021,3.4,
28/06/2021,3.62,
29/06/2021,3.75,
30/06/2021,3.79,
01/07/2021,3.76,
02/07/2021,3.67,
05/07/2021,3.67,
06/07/2021,3.68,
07/07/2021,3.66,
08/07/2021,3.56,
09/07/2021,3.71,
12/07/2021,3.7,
13/07/2021,3.78,
14/07/2021,3.8,
15/07/2021,3.68,
16/07/2021,3.7,
19/07/2021,3.75,
20/07/2021,3.82,
21/07/2021,3.94,
22/07/2021,4.02,
23/07/2021,4.11,
26/07/2021,4.09,
27/07/2021,4.15,
28/07/2021,4.1,
29/07/2021,4.03,
30/07/2021,3.94,
02/08/2021,4.02,
03/08/2021,4.06,
04/08/2021,4.2,
05/08/2021,4.27,
06/08/2021,4.21,
09/08/2021,4.24,
10/08/2021,4.12,
11/08/2021,4.07,
12/08/2021,4.1,
13/08/2021,3.95,
16/08/2021,3.93,
17/08/2021,3.92,
18/08/2021,3.86,
19/08/2021,3.83,
20/08/2021,3.94,
23/08/2021,3.93,
24/08/2021,3.95,
25/08/2021,4.03,
26/08/2021,4.07,
27/08/2021,4.35,
30/08/2021,4.25,
31/08/2021,4.33,
01/09/2021,4.45,
02/09/2021,4.65,
03/09/2021,4.77,
07/09/2021,4.71,
08/09/2021,4.66,
09/09/2021,4.97,
10/09/2021,5.13,
13/09/2021,5.21,
14/09/2021,5.39,
15/09/2021,5.66,
16/09/2021,5.52,
17/09/2021,5.32,
20/09/2021,5.25,
21/09/2021,4.96,
22/09/2021,4.92,
23/09/2021,4.94,
24/09/2021,5.1,
27/09/2021,5.53,
28/09/2021,5.94,
29/09/2021,5.73,
30/09/2021,5.58,
01/10/2021,5.61,
04/10/2021,5.8,
05/10/2021,6.37,
06/10/2021,6,
07/10/2021,5.71,
08/10/2021,5.46,
11/10/2021,5.46,
12/10/2021,5.34,
13/10/2021,5.56,
14/10/2021,5.92,
15/10/2021,5.44,
18/10/2021,5.01,
19/10/2021,4.81,
20/10/2021,4.87,
21/10/2021,4.94,
22/10/2021,5.1,
25/10/2021,5.72,
26/10/2021,5.59,
27/10/2021,5.91,
28/10/2021,5.68,
29/10/2021,5.49,
01/11/2021,5.22,
02/11/2021,5.33,
03/11/2021,5.59,
04/11/2021,5.73,
05/11/2021,5.51,
08/11/2021,5.53,
09/11/2021,5.08,
10/11/2021,4.56,
11/11/2021,4.81,
12/11/2021,4.97,
15/11/2021,4.77,
16/11/2021,4.93,
17/11/2021,4.94,
18/11/2021,4.8,
19/11/2021,4.84,
22/11/2021,4.78,
23/11/2021,4.69,
24/11/2021,4.69,
25/11/2021,4.61,
26/11/2021,4.6,
29/11/2021,4.71,
30/11/2021,4.85,
01/12/2021,4.88,
02/12/2021,4.78,
03/12/2021,4.92,
06/12/2021,4.85,
07/12/2021,4.96,
08/12/2021,4.92,
09/12/2021,4.91,
10/12/2021,5.08,
13/12/2021,5.07,
14/12/2021,5.08,
15/12/2021,5.12,
16/12/2021,5.12,
17/12/2021,5.06,
20/12/2021,5.19,
21/12/2021,5.31,
22/12/2021,5.41,
23/12/2021,5.34,
24/12/2021,5.29,
27/12/2021,5.22,
28/12/2021,5.25,
29/12/2021,5.3,
30/12/2021,5.2,
